"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"33","Brands Cricketers and Commentators Entertainment Hindi Music TV Sports Comedy and Humour Comedy and Humour",6,5,9,121,NA,"Arin Dhakar",2016-11-10 10:42:17,FALSE,FALSE,"Arin1511Arin","Chandkheda, Gandhinagar","en","796664267403657216",0,FALSE,"http://pbs.twimg.com/profile_images/815039078630641666/hQabh0Jn_normal.jpg"
"34","Ohio State Buckeyes. Husband. Father. USA. Christian. Sick of the PC bologna. Hail to the Redskins. Shoot em, Caps. Heavy Metal",2697,80,693,221,"https://t.co/jWNamNx58L","Ben Smith",2014-03-09 05:15:09,FALSE,FALSE,"GuyBuckeye","A Buckeye in Pa","en","2379875934",7,FALSE,"http://pbs.twimg.com/profile_images/745367198504345600/kKEi4gW5_normal.jpg"
"35","<ed><U+00A0><U+00BD><ed><U+00BA><U+00B6>... <ed><U+00A0><U+00BC><ed><U+00BE><U+0089>",87119,1018,1116,486,NA,"Alexander",2010-11-05 20:45:47,FALSE,FALSE,"LGPDA07","CDMX  ","es","212347297",17,FALSE,"http://pbs.twimg.com/profile_images/776024643882758145/rjN-FAXG_normal.jpg"
"36","#LMFT #Therapist / #Chaostician / #Podcast Coaching Through Chaos & @Shrink2Shrink #itunes #Entrepreneur https://t.co/m7r2VST8jo",5147,4623,1695,5084,"https://t.co/DySoqVPLQ7","Dr Colleen Mullen",2015-03-22 07:43:20,FALSE,FALSE,"DrColleenMullen","San Diego","en","3102823568",197,FALSE,"http://pbs.twimg.com/profile_images/664852769036042240/yuACNPx__normal.jpg"
"37","Customer Service, Marketing, Quality, Main Street, Local Small Biz are some of my passions. Hard headed want the facts. Love & resist change. #TheResistance",17478,680,3482,665,NA,"Dave Wilderman",2009-11-26 22:25:41,FALSE,FALSE,"DaveWilderman","S Southern Illinois","en","92848358",70,FALSE,"http://pbs.twimg.com/profile_images/736653787927089152/KfXjfT2Q_normal.jpg"
"38","SportsCenter 24/7 Sports Of All Sorts.  Tweet Us Your Sport For Retweet.",17065,611,37,1011,NA,"SportsCenter",2009-02-26 07:03:35,FALSE,FALSE,"SportsCenterSCN","usa","en","21985233",10,FALSE,"http://pbs.twimg.com/profile_images/822583269107572738/nmAFVOgj_normal.jpg"
"39","pop culture cunt <U+2022> taylucifer <U+2022> selepus <U+2022> adelephant <U+2022> brit-knee <U+2022> jeen <U+2022> speers <U+2022> slurper <U+2022>",39337,1771,34298,2504,NA,"beyonce lost aoty",2012-08-03 18:01:36,FALSE,FALSE,"stainedfuton","beyonces basement w/ sia ","en","735287912",44,FALSE,"http://pbs.twimg.com/profile_images/832696393265405954/zdlHwM2J_normal.jpg"
"40","Passo o tempo todo comentando sobre divas pop. Se tu gosta me segue, se n<U+00E3>o paci<U+00EA>ncia.",35692,4954,4675,305,"https://t.co/56yPUpYo0s","Rid-sama <ed><U+00A0><U+00BC><ed><U+00BF><U+0088>",2011-05-30 19:08:03,FALSE,FALSE,"Rid_sama","Soul Society ","pt","308052759",64,FALSE,"http://pbs.twimg.com/profile_images/830617837249130496/-CGr8RZt_normal.jpg"
"41","President and CEO",2820,442,17,292,"https://t.co/CTZnEMEACN","Bill Farinella",2015-12-29 18:57:17,FALSE,FALSE,"pya_online","New Jersey, USA","en","4645950862",68,FALSE,"http://pbs.twimg.com/profile_images/681912885812064256/TS1R9s4r_normal.jpg"
"42","MNM",42315,2910,20814,2759,NA,"Gaby",2012-01-15 18:26:17,FALSE,FALSE,"gabycruz12","somewhere in all the confusion","es","464869631",23,FALSE,"http://pbs.twimg.com/profile_images/830542200392007682/YR3Yb53A_normal.jpg"
"43","Tons of Leads contact me every single day @willstauff. Would 8 to 10 Leads PER DAY help YOUR business? https://t.co/l0GCbdNoVO",79653,6265,65,5600,"https://t.co/5Vtgh8M3hV","Will Stauff",2013-10-27 21:47:56,FALSE,FALSE,"willstauff1","GA","en","2159688554",1371,FALSE,"http://pbs.twimg.com/profile_images/715733290687328256/cVpsCYTv_normal.jpg"
"44","To educate and assist people in regaining proper health/immune function through MicroNutrient IV Therapy, detoxification, diet changes, exercise and meditation.",2771,32847,41,4577,"https://t.co/5kQR4iFpIe","Micro Infusions",2017-01-07 03:33:28,FALSE,FALSE,"microInfusions","Albuquerque, NM","en","817574850378297345",55,FALSE,"http://pbs.twimg.com/profile_images/817760691939524608/vUCx1fAl_normal.jpg"
"45","Just A Die Hard Fan Of The Iconic Lady Gaga ~ Astrology Is My Calling ~ <U+264F>",3617,199,4172,781,NA,"Scorpio's Gaga",2010-05-17 05:33:32,FALSE,FALSE,"TheJuJu133","Little Monster Ave.","en","144744844",9,FALSE,"http://pbs.twimg.com/profile_images/831397247984152576/gF47WmVy_normal.jpg"
"46","Hincha del Mas Grande River Plate",20610,838,184,504,NA,"Fran <U+F8FF>",2011-05-29 04:23:49,FALSE,FALSE,"FranciscoArrieu","Goya-Corrientes","es","307168362",2,FALSE,"http://pbs.twimg.com/profile_images/704408051097411584/1FbcsooN_normal.jpg"
"47","@ladygaga #JOANNE https://t.co/8QsYawjEFc https://t.co/XXSaa5ME1r https://t.co/ER4HXWN3O3 followed by Lady Gaga Dec.18.2012",57393,11343,8026,8545,NA,"JOANNE",2010-10-19 01:40:58,FALSE,FALSE,"AY_ARTPOP","Japan ","en","204595363",56,FALSE,"http://pbs.twimg.com/profile_images/828366100911976449/Hdo_wC75_normal.jpg"
"48","https://t.co/SYVuXC9qwv https://t.co/AI2CMnO3Ez<U+2026>  https://t.co/JFCKxe9Yfp...",31890,549,7864,740,"https://t.co/gzbCRRkZGl","Reshaud",2008-07-16 20:34:37,FALSE,FALSE,"Reshaud","Louisana","en","15459344",13,FALSE,"http://pbs.twimg.com/profile_images/1631466278/l_normal.jpg"
"49","I edit shit. I also draw... shit",14925,673,16424,912,"https://t.co/elDs3W6Z08","E R",2012-04-10 01:29:20,FALSE,FALSE,"silentblonde","Los Angeles, California","en","549705208",21,FALSE,"http://pbs.twimg.com/profile_images/711901306252701696/J6E_yj0k_normal.jpg"
"50","I have a dog 
LGBT+ Demigirl 
Life sucks",13414,1296,14464,1893,NA,"HausofDiana",2013-06-27 18:39:56,FALSE,FALSE,"hausofD14N4","wanting to leave the closet ","en","1551277021",13,FALSE,"http://pbs.twimg.com/profile_images/814266055447166976/Mafha_dz_normal.jpg"
"51","Meow",1646,146,1883,57,NA,"corey",2010-05-10 03:06:17,FALSE,FALSE,"coreyschmitz","chicago IL","en","142146764",2,FALSE,"http://pbs.twimg.com/profile_images/812127511484256258/aRNopQmd_normal.jpg"
"52","LITTLE MONSTER SINCE 2009
BTWBALL 29/09/12
ARTRAVE 23/09/14
CTC TOUR 14/07/15",4695,183,2231,349,"https://t.co/ZdLg76RCfL","YENTL",2009-06-29 15:50:54,FALSE,FALSE,"yentlperquy","belgium/boy/18","en","52094229",4,FALSE,"http://pbs.twimg.com/profile_images/793164942497153024/EZvzWCN7_normal.jpg"
"53","Daryl Baldwin. Belieber <U+2764>",26855,794,8873,438,NA,"Aini",2014-09-23 09:24:26,FALSE,FALSE,"aainiroslan","Kuching, Sarawak","en","2827781467",3,FALSE,"http://pbs.twimg.com/profile_images/802884963947278336/lxEFOrJg_normal.jpg"
"54","#NSANE #RSN #LLRRUDE #TYTYWORLD",2092,122,1479,74,NA,"<ed><U+00A0><U+00BD><ed><U+00B7><U+00A1><ed><U+00A0><U+00BD><ed><U+00B8><U+0088><ed><U+00A0><U+00BD><ed><U+00B7><U+00A1>",2015-09-16 23:18:51,FALSE,FALSE,"RsnBrog","Columbus, GA","en","3679586175",1,FALSE,"http://pbs.twimg.com/profile_images/826801976688123904/0FwCgr9__normal.jpg"
"55","17-year-old American living in Germany at the best moment of teenage years. Dance and music addict. Enjoy as much as you can! Sarcastic af",401,4389,795,3762,"https://t.co/GM9ZJ1Hcd8","Anna Michels",2016-10-11 18:20:17,FALSE,FALSE,"AnnaMichels1","Bayern, Deutschland","de","785907888648622080",9,FALSE,"http://pbs.twimg.com/profile_images/790595366232227840/kWjbdejI_normal.jpg"
"56","",10414,656,26,618,"http://t.co/EmL2vEyEOi","Little Black Cherry",2009-06-06 18:48:35,FALSE,FALSE,"lilblackcherry","Essex","en","45188189",47,FALSE,"http://pbs.twimg.com/profile_images/1613537242/pink_kitty_ears_normal.jpg"
"57","https://t.co/E1QKwFWvmC
https://t.co/bulYkQMjUd",1968,455,695,440,"https://t.co/fR8KCHRB3t","Vernae Hogue",2011-05-28 19:55:03,FALSE,FALSE,"VernaeHogue","Birmingham, AL","en","306978578",34,FALSE,"http://pbs.twimg.com/profile_images/580152343553040384/th1GCnTj_normal.jpg"
"58","<U+2764><U+FE0F> Seeing Miranda LIVE on 3/17/17 <U+2764><U+FE0F>",435,34,167,66,NA,"<U+25B6><U+FE0E>Ran Fan<U+25C0><U+FE0E>",2016-06-01 02:09:04,FALSE,FALSE,"Spooky_Amara","Apple Valley, MN","en","737828276173869056",3,FALSE,"http://pbs.twimg.com/profile_images/832769968122900480/Y9yc2C7d_normal.jpg"
"59","MSc International Management, BA (Hons) Marketing. Star Wars and Lord of the Rings fan, sports/ Arsenal fan. Connect with me on LinkedIn at https://t.co/WVRzCFHykF",547,190,409,626,NA,"Samer Mohammed",2013-09-02 12:10:11,FALSE,FALSE,"Samerm14","South West, England","en","1722122976",33,FALSE,"http://pbs.twimg.com/profile_images/776383654188740608/GZChK8jy_normal.jpg"
"60","<U+271E> A blessed girl who's trying to find her purpose.
- Dean Winchester is Cass's human weakness -",119181,11796,11135,10675,"https://t.co/xFQbbfQjgr","Mishamiga",2011-06-26 15:33:09,FALSE,FALSE,"ellafranthiely","MJ<U+00B0>LG<U+00B0>JB<U+00B0>JD<U+00B0>NEYO<U+00B0>BM<U+00B0>RDS","en","324412469",45,FALSE,"http://pbs.twimg.com/profile_images/829193263852744704/fG6Qjunk_normal.jpg"
"61","Comunicador social, menci<U+00F3>n Audiovisual. Producci<U+00F3>n audiovisual. Edici<U+00F3>n de v<U+00ED>deo.  <ed><U+00A0><U+00BC><ed><U+00BE><U+009E><ed><U+00A0><U+00BC><ed><U+00BE><U+00A5><ed><U+00A0><U+00BD><ed><U+00B6><U+00A5> Contacto: shermancastrom@gmail.com",9845,365,1298,323,NA,"Sherman Castro",2010-01-20 18:47:15,FALSE,FALSE,"ShermanCastro","Venezuela / Colombia","es","106800110",11,FALSE,"http://pbs.twimg.com/profile_images/817238843296514048/0ZPm_tll_normal.jpg"
"62","<ed><U+00A0><U+00BD><ed><U+00B2><U+00AB><ed><U+00A0><U+00BC><ed><U+00BC><U+0088>Ela <U+00E9> mais do tipo de garota que fala logo na cara se n<U+00E3>o gosta de alguma coisa; porque ela <U+00E9> geminiana rapaz<U+2728><ed><U+00A0><U+00BE><ed><U+00B6><U+008B><U+264A><U+FE0F>",7173,121,6428,243,NA,"Lu Jauregui<ed><U+00A0><U+00BE><ed><U+00B6><U+008B>",2016-12-10 13:30:49,FALSE,FALSE,"Lu_JCabello27","Porto Alegre, Brasil","pt","807578316874149888",9,FALSE,"http://pbs.twimg.com/profile_images/832264755586953216/sewu8DX3_normal.jpg"
"63","The Tangerine is an independent weekly newspaper published by and for Utica College students.",1922,484,22,358,"https://t.co/au63dL10rI","The Tangerine",2010-02-04 01:38:11,FALSE,FALSE,"UC_Tangerine","Utica, NY","en","111177112",14,FALSE,"http://pbs.twimg.com/profile_images/722195761413427200/14JKrn-f_normal.jpg"
"64","",9618,169,10325,185,NA,"adulation :)",2014-10-09 23:38:03,FALSE,FALSE,"ByeSyed","Sex me on the beach","en","2849313398",3,FALSE,"http://pbs.twimg.com/profile_images/820201319432679424/RErzvqi-_normal.jpg"
"65","A Digital Advertising Network for Ad Buyers & Publishers.  Desktop + Mobile + Applications. CPM + CPC. Upcoming IPO.",28305,5198,34,30,"https://t.co/ciXIFZZATD","Atlan Media",2016-02-25 04:36:46,FALSE,FALSE,"atlan_media","Sydney, Australia","en","702713825099788288",117,FALSE,"http://pbs.twimg.com/profile_images/703796176361926657/b2bTnBN6_normal.jpg"
"66","Tweetando merda sempre q poss<U+00ED>vel. Feminista. Meio l<U+00E9>sbica, meio gay. F<U+00E3> da Gaga Del Lorde. Escuto Cry Baby. Vendo os bolos da minha amiga @katyperry .<ed><U+00A0><U+00BC><ed><U+00BD><U+00B0>",2187,1221,716,877,NA,"Unknown<U+2122>",2013-03-19 16:30:25,FALSE,FALSE,"LMs_Brazil","Casa Da M<U+00E3>e Joanne","pt","1280901835",1,FALSE,"http://pbs.twimg.com/profile_images/830538994387734533/mDw3tPbc_normal.jpg"
"67","It's Harvey, Bitch ~ An introverted 21-year old fudanshi who loves female music artists but is mainly obsessed with Lady Gaga, Anime/Manga, & RuPaul's Drag Race",31194,6069,2869,1605,"http://t.co/qoTxw8T9Io","Akatsuki no Yona",2011-07-23 12:59:29,FALSE,FALSE,"HausOfKills","<U+2661> The Lonely Hearts Club <U+2661>","en","340885886",18,FALSE,"http://pbs.twimg.com/profile_images/828864184863436800/SY-LSVVk_normal.jpg"
"68","Living the Dream! <ed><U+00A0><U+00BD><ed><U+00B2><U+0098><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><U+26BE><U+FE0F>.",20183,28387,5336,673,"https://t.co/dnbfjjYfpi","Monica Abbott",2009-04-29 14:12:17,FALSE,TRUE,"monicaabbott","in the Circle","en","36365848",269,FALSE,"http://pbs.twimg.com/profile_images/592569147675934720/Zf-p0U13_normal.jpg"
"69","Michael Harris-Arzon, President Ardynn Media Group, Real Estate Icon, Branding and PR Expert, NAVIGATING THE HYPER TRENDING PATH TO BALANCED PROFESSIONALISM.",380506,104071,2255,33232,"https://t.co/zhWH4FjRvh","SimplisticPro",2008-09-09 16:12:49,FALSE,FALSE,"simplisticpro","40.255588,-76.877092","en","16204520",1142,FALSE,"http://pbs.twimg.com/profile_images/77433381/pic1_normal.jpg"
"70","My name is Luis Dominguez @ladygaga is the real MVP in music. Asiel Follows me honey.",22555,1304,12343,1420,NA,"SLAY #Joanne",2014-01-28 01:37:58,FALSE,FALSE,"gagaslayaaas","New Mexico, USA","en","2314649683",23,FALSE,"http://pbs.twimg.com/profile_images/804161937126854657/MAH6dn-j_normal.jpg"
"71","Team JT/Team Free Will/Bibliophile/ Introbird<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",1543,186,832,367,NA,"stevenism",2014-08-10 06:19:45,FALSE,FALSE,"imstevenistic","Manila, Philippines","en","2720952138",2,FALSE,"http://pbs.twimg.com/profile_images/810780437769392128/oYbm5qxA_normal.jpg"
"72","Author of TOM LANDRY AND BILL WALSH; https://t.co/UIYLBDnt8w",1750,115,52,78,"https://t.co/1qE5cCZtzV","John Lawson III",2013-04-23 23:49:35,FALSE,FALSE,"JohnLawsonIII","Virginia","en","1375741513",8,FALSE,"http://pbs.twimg.com/profile_images/425640456819466240/F7-bjH_6_normal.jpeg"
"73","",14374,344,10455,715,NA,"b",2008-09-29 17:28:46,FALSE,FALSE,"bratty__bee","Las Vegas, NV","en","16514614",7,FALSE,"http://pbs.twimg.com/profile_images/725094093911511040/KSgtwG0R_normal.jpg"
"74","negan vc <U+00E9> gostoso demais pra mim",26642,2557,2240,1862,"https://t.co/TbKFMh04qV","<U+2022><U+2022><U+2022>",2013-05-07 23:21:43,FALSE,FALSE,"ownbelij","atlanta","pt","1411477458",6,FALSE,"http://pbs.twimg.com/profile_images/808134479613198336/Gj6uxjXS_normal.jpg"
